Year,Month,Immature ,Mature
2003,1,0,50
2003,1,0,0
2003,1,0,27
2003,1,0,156
2003,1,0,123
2003,1,0,119
2003,1,3,8
2003,1,0,7
2003,1,0,230
2003,1,0,754
2003,1,0,0
2003,1,0,7
2003,1,0,115
2003,1,0,0
2003,1,0,204
2003,1,0,349
2003,1,0,81
2003,1,87,28
2003,1,9,111
2003,1,0,17
2003,1,0,0
2003,1,0,55
2003,1,0,15
2003,1,74,84
2003,1,91,1047
2003,1,92,1631
2003,1,2,412
2003,1,0,29
2003,1,2,385
2003,1,25,81
2003,1,0,11
2003,1,71,421
2003,1,230,1803
2003,1,103,626
2003,1,45,214
2003,1,3,43
2003,1,6,23
2003,1,4,138
2003,1,6,224
2003,1,19,182
2003,1,32,99
2003,1,0,12
2003,1,40,159
2003,1,187,1304
2003,1,629,2371
2003,1,92,349
2003,1,339,2344
2003,1,227,1794
2003,1,54,244
2003,1,29,265
2003,1,85,1119
2003,1,30,458
2003,1,5,69
2003,1,47,206
2003,1,124,639
2003,1,72,445
2003,1,48,515
2003,1,63,936
2003,1,1,8
2003,1,1,71
2003,1,8,33
2003,1,32,486
2003,1,0,47
2003,1,15,105
2003,1,1,19
2003,1,4,25
2003,1,0,36
2003,1,0,0
2003,1,35,1454
2003,1,11,353
2003,1,50,729
2003,1,130,2433
2003,1,133,1933
2003,2,0,0
2003,2,0,53
2003,2,0,0
2003,2,0,58
2003,2,0,59
2003,2,0,75
2003,2,20,63
2003,2,0,102
2003,2,0,0
2003,2,0,613
2003,2,0,21
2003,2,0,52
2003,2,0,92
2003,2,0,15
2003,2,0,64
2003,2,12,161
2003,2,0,4
2003,2,0,0
2003,2,0,2
2003,2,3,78
2003,2,16,19
2003,2,3,37
2003,2,49,874
2003,2,2,332
2003,2,25,25
2003,2,0,23
2003,2,4,645
2003,2,243,1442
2003,2,371,2909
2003,2,85,518
2003,2,24,113
2003,2,143,2338
2003,2,34,143
2003,2,4,126
2003,2,2,59
2003,2,3,31
2003,2,29,87
2003,2,253,999
2003,2,138,963
2003,2,294,1108
2003,2,175,667
2003,2,96,666
2003,2,38,298
2003,2,10,47
2003,2,1,5
2003,2,0,4
